Gmt time,Open,High,Low,Close,Volume
2023-10-16 15:15:00,253.117,253.847,251.857,252.366,3.25
2023-10-16 15:30:00,252.326,252.627,251.426,251.756,3.11
2023-10-16 15:45:00,251.757,252.257,251.497,252.006,2.7
2023-10-16 16:00:00,252.006,253.037,251.577,252.607,2.89
2023-10-16 16:15:00,252.607,253.106,252.366,252.967,2.39
2023-10-16 16:30:00,252.966,253.126,252.536,252.836,2.49
2023-10-16 16:45:00,252.837,253.226,252.276,252.706,2.31
2023-10-16 17:00:00,252.737,253.347,252.646,252.877,2.25
2023-10-16 17:15:00,252.877,253.237,250.797,251.917,3.71
2023-10-16 17:30:00,251.917,252.736,251.666,252.647,2.81
2023-10-16 17:45:00,252.636,253.366,252.497,253.207,2.48
2023-10-16 18:00:00,253.206,254.837,253.076,254.656,2.85
2023-10-16 18:15:00,254.686,255.376,254.197,254.546,3.24
2023-10-16 18:30:00,254.547,254.906,254.096,254.696,2.61
2023-10-16 18:45:00,254.697,255.137,254.366,254.936,2.5
2023-10-16 19:00:00,254.936,254.957,253.756,253.927,2.9
2023-10-16 19:15:00,253.926,254.986,253.916,254.946,2.62
2023-10-16 19:30:00,254.987,255.187,254.516,254.747,3.49
2023-10-16 19:45:00,254.737,254.886,253.596,253.826,3.87
2023-10-17 13:30:00,249.877,251.286,248.726,249.256,6.92
2023-10-17 13:45:00,249.256,249.256,247.086,248.517,6.29
2023-10-17 14:00:00,248.516,251.547,248.307,251.037,6.17
2023-10-17 14:15:00,251.036,251.857,250.596,250.997,5.27
2023-10-17 14:30:00,251.027,252.847,250.767,252.686,4.26
2023-10-17 14:45:00,252.727,253.856,252.606,253.486,4.18
2023-10-17 15:00:00,253.507,254.087,252.746,253.896,4.35
2023-10-17 15:15:00,253.897,254.357,253.306,253.777,4.02
2023-10-17 15:30:00,253.817,254.716,253.377,254.026,3.88
2023-10-17 15:45:00,254.056,255.037,253.876,254.916,3.41
2023-10-17 16:00:00,254.946,256.907,254.806,256.737,3.73
2023-10-17 16:15:00,256.737,256.896,255.646,255.957,3.44
2023-10-17 16:30:00,255.936,257.157,255.676,256.736,3.25
2023-10-17 16:45:00,256.737,256.767,255.546,255.877,3.35
2023-10-17 17:00:00,255.877,255.976,254.486,254.526,3.09
2023-10-17 17:15:00,254.556,255.116,254.356,254.407,2.64
2023-10-17 17:30:00,254.406,254.737,253.646,254.636,3.05
2023-10-17 17:45:00,254.627,254.966,253.676,254.296,3.14
2023-10-17 18:00:00,254.296,255.127,254.006,254.786,3.33
2023-10-17 18:15:00,254.776,255.407,254.666,255.117,3.13
2023-10-17 18:30:00,255.097,255.707,254.516,255.686,3.51
2023-10-17 18:45:00,255.696,256.186,254.626,254.926,3.91
2023-10-17 19:00:00,254.926,255.177,254.276,254.717,3.72
2023-10-17 19:15:00,254.727,255.536,254.717,254.917,3.87
2023-10-17 19:30:00,254.917,255.026,253.926,254.037,3.93
2023-10-17 19:45:00,254.036,254.947,253.906,254.797,4.02
2023-10-18 13:30:00,252.767,254.577,251.267,252.037,6.4
2023-10-18 13:45:00,252.017,253.077,251.676,252.736,5.48
2023-10-18 14:00:00,252.737,252.737,250.536,250.597,5.94
2023-10-18 14:15:00,250.596,251.887,250.346,250.426,5.85
2023-10-18 14:30:00,250.417,250.417,248.316,248.316,5.35
2023-10-18 14:45:00,248.326,248.957,247.296,247.646,4.71
2023-10-18 15:00:00,247.636,248.317,247.056,247.596,3.81
2023-10-18 15:15:00,247.597,248.427,247.326,248.006,4.11
2023-10-18 15:30:00,247.996,248.677,246.656,246.687,3.54
2023-10-18 15:45:00,246.687,247.607,246.516,246.987,3.46
2023-10-18 16:00:00,246.947,247.786,246.066,247.376,4.07
2023-10-18 16:15:00,247.376,247.667,245.996,246.017,3.59
2023-10-18 16:30:00,246.006,246.156,244.346,244.757,3.69
2023-10-18 16:45:00,244.757,244.897,243.016,243.017,3.84
2023-10-18 17:00:00,243.006,246.067,243.006,245.757,4.72
2023-10-18 17:15:00,245.716,246.207,245.016,245.207,3.65
2023-10-18 17:30:00,245.186,245.187,243.806,244.137,3.86
2023-10-18 17:45:00,244.117,244.877,243.566,244.796,3.15
2023-10-18 18:00:00,244.767,245.217,243.956,244.637,3.47
2023-10-18 18:15:00,244.637,244.637,243.796,244.407,3.16
2023-10-18 18:30:00,244.377,244.756,243.546,243.757,3.26
2023-10-18 18:45:00,243.747,243.817,242.496,242.637,3.52
2023-10-18 19:00:00,242.637,242.706,242.066,242.517,3.49
2023-10-18 19:15:00,242.517,243.416,242.266,242.766,3.64
2023-10-18 19:30:00,242.766,243.236,242.496,242.757,4.22
2023-10-18 19:45:00,242.756,243.437,242.306,242.396,5.12
2023-10-19 13:30:00,225.786,230.506,224.326,225.026,8.62
2023-10-19 13:45:00,225.007,226.357,222.806,223.647,7.41
2023-10-19 14:00:00,223.666,225.986,222.746,225.387,5.98
2023-10-19 14:15:00,225.386,225.936,222.216,222.646,4.64
2023-10-19 14:30:00,222.526,223.746,221.796,221.966,4.02
2023-10-19 14:45:00,221.946,222.196,220.346,221.257,4.26
2023-10-19 15:00:00,221.237,222.376,220.116,220.287,4.78
2023-10-19 15:15:00,220.287,220.447,218.646,220.057,4.81
2023-10-19 15:30:00,220.047,220.897,219.476,220.637,3.82
2023-10-19 15:45:00,220.637,221.467,220.496,221.127,3.71
2023-10-19 16:00:00,221.127,222.457,220.326,220.667,5.89
2023-10-19 16:15:00,220.666,223.057,220.496,221.506,5.45
2023-10-19 16:30:00,221.507,221.666,219.016,219.477,5.94
2023-10-19 16:45:00,219.476,221.186,219.417,220.686,5.4
2023-10-19 17:00:00,220.686,222.107,220.686,221.697,4.71
2023-10-19 17:15:00,221.747,222.437,220.926,221.227,4.16
2023-10-19 17:30:00,221.247,221.367,219.646,219.927,4.67
2023-10-19 17:45:00,219.957,220.497,219.497,220.017,4.15
2023-10-19 18:00:00,220.006,220.237,219.236,219.527,4.09
2023-10-19 18:15:00,219.516,219.966,218.706,218.847,4.49
2023-10-19 18:30:00,218.846,218.976,217.656,218.127,3.47
2023-10-19 18:45:00,218.087,218.347,216.766,217.306,3.5
2023-10-19 19:00:00,217.296,218.407,217.296,217.617,3.61
2023-10-19 19:15:00,217.626,218.506,217.156,218.506,3.27
2023-10-19 19:30:00,218.526,219.047,217.277,217.616,4.25
2023-10-19 19:45:00,217.616,220.976,217.457,220.027,4.8
2023-10-20 13:30:00,216.827,217.727,214.076,215.587,7.93
2023-10-20 13:45:00,215.586,217.386,214.706,216.646,6.27
2023-10-20 14:00:00,216.647,218.797,215.996,216.097,6.37
2023-10-20 14:15:00,216.027,217.367,214.996,215.087,5.25
2023-10-20 14:30:00,215.107,215.776,214.496,214.677,4.21
2023-10-20 14:45:00,214.687,215.206,213.426,213.737,4.17
2023-10-20 15:00:00,213.746,214.216,212.977,213.107,3.69
2023-10-20 15:15:00,213.107,213.287,211.316,211.606,3.54
2023-10-20 15:30:00,211.606,211.756,210.416,210.666,3.04
2023-10-20 15:45:00,210.666,213.066,210.666,212.867,2.91
2023-10-20 16:00:00,212.876,213.356,211.306,211.786,2.39
2023-10-20 16:15:00,211.786,212.986,211.587,212.427,2.42
2023-10-20 16:30:00,212.426,213.837,212.426,213.636,2.4
2023-10-20 16:45:00,213.617,215.267,213.596,215.017,2.37
2023-10-20 17:00:00,215.056,215.207,213.016,213.817,2.44
2023-10-20 17:15:00,213.786,215.716,213.516,215.306,3.04
2023-10-20 17:30:00,215.307,215.686,214.546,214.617,2.56
2023-10-20 17:45:00,214.616,214.687,213.396,213.837,2.39
2023-10-20 18:00:00,213.827,213.846,212.856,212.856,2.46
2023-10-20 18:15:00,212.856,213.016,211.716,211.876,2.58
2023-10-20 18:30:00,211.847,212.397,211.326,212.016,2.4
2023-10-20 18:45:00,212.007,213.296,211.857,212.697,2.23
2023-10-20 19:00:00,212.707,213.446,212.196,212.896,2.25
2023-10-20 19:15:00,212.897,213.286,212.346,212.797,2.42
2023-10-20 19:30:00,212.796,213.287,211.797,211.997,2.82
2023-10-20 19:45:00,211.997,212.317,211.616,211.896,3.15
2023-10-23 13:30:00,209.916,210.376,202.497,202.787,8.65
2023-10-23 13:45:00,202.806,207.037,202.666,206.327,7.4
2023-10-23 14:00:00,206.346,208.687,205.346,208.547,6.82
2023-10-23 14:15:00,208.527,210.537,208.366,209.577,6.24
2023-10-23 14:30:00,209.616,212.327,208.566,212.197,5.33
2023-10-23 14:45:00,212.206,213.496,211.667,213.446,4.9
2023-10-23 15:00:00,213.446,214.737,213.257,214.217,4.66
2023-10-23 15:15:00,214.226,215.367,214.066,215.307,4.39
2023-10-23 15:30:00,215.296,216.086,214.857,214.867,4.23
2023-10-23 15:45:00,214.877,214.897,213.146,214.377,3.9
2023-10-23 16:00:00,214.397,215.737,213.996,215.077,2.55
2023-10-23 16:15:00,215.056,215.416,213.876,214.607,2.71
2023-10-23 16:30:00,214.616,215.066,214.097,214.266,2.44
2023-10-23 16:45:00,214.276,216.867,214.267,216.697,2.68
2023-10-23 17:00:00,216.726,216.787,214.696,215.116,2.52
2023-10-23 17:15:00,215.086,215.117,212.917,213.606,2.89
2023-10-23 17:30:00,213.586,214.667,213.226,214.567,2.35
2023-10-23 17:45:00,214.557,215.257,214.036,214.236,2.6
